|원형|현재형|과거형|과거분사형|현재분사형|
|abandon|abandons|abandoned|abandoned|abandoning|
|absorb|absorbs|absorbed|absorbed|absorbing|
|abuse|abuses|abused|abused|abusing|
|access|accesses|accessed|accessed|accessing|
|accompany|accompanies|accompanied|accompanied|accompanying|
|accomplish|accomplishes|accomplished|accomplished|accomplishing|
|account|accounts|accounted|accounted|accounting|
|accuse|accuses|accused|accused|accusing|
|achieve|achieves|achieved|achieved|achieving|
|acknowledge|acknowledges|acknowledged|acknowledged|acknowledging|
|acquire|acquires|acquired|acquired|acquiring|
|act|acts|acted|acted|acting|
|adapt|adapts|adapted|adapted|adapting|
|add|adds|added|added|adding|
|address|addresses|addressed|addressed|addressing|
|adjust|adjusts|adjusted|adjusted|adjusting|
|admire|admires|admired|admired|admiring|
|admit|admits|admitted|admitted|admitting|
|adopt|adopts|adopted|adopted|adopting|
|advance|advances|advanced|advanced|advancing|
|advertise|advertises|advertised|advertised|advertising|
|advise|advises|advised|advised|advising|
|affect|affects|affected|affected|affecting|
|afford|affords|afforded|afforded|affording|
|agree|agrees|agreed|agreed|agreeing|
|aim|aims|aimed|aimed|aiming|
|alert|alerts|alerted|alerted|alerting|
|allocate|allocates|allocated|allocated|allocating|
|allow|allows|allowed|allowed|allowing|
|alter|alters|altered|altered|altering|
|amaze|amazes|amazed|amazed|amazing|
|amend|amends|amended|amended|amending|
|analyze|analyzes|analyzed|analyzed|analyzing|
|announce|announces|announced|announced|announcing|
|annoy|annoys|annoyed|annoyed|annoying|
|answer|answers|answered|answered|answering|
|anticipate|anticipates|anticipated|anticipated|anticipating|
|apologize|apologizes|apologized|apologized|apologizing|
|appeal|appeals|appealed|appealed|appealing|
|appear|appears|appeared|appeared|appearing|
|applaud|applauds|applauded|applauded|applauding|
|apply|applies|applied|applied|applying|
|appoint|appoints|appointed|appointed|appointing|
|appreciate|appreciates|appreciated|appreciated|appreciating|
|approach|approaches|approached|approached|approaching|
|approve|approves|approved|approved|approving|
|argue|argues|argued|argued|arguing|
|arise|arises|arose|arisen|arising|
|arrange|arranges|arranged|arranged|arranging|
|arrest|arrests|arrested|arrested|arresting|
|arrive|arrives|arrived|arrived|arriving|
|articulate|articulates|articulated|articulated|articulating|
|ask|asks|asked|asked|asking|
|assert|asserts|asserted|asserted|asserting|
|assess|assesses|assessed|assessed|assessing|
|assign|assigns|assigned|assigned|assigning|
|assist|assists|assisted|assisted|assisting|
|associate|associates|associated|associated|associating|
|assume|assumes|assumed|assumed|assuming|
|assure|assures|assured|assured|assuring|
|astonish|astonishes|astonished|astonished|astonishing|
|attach|attaches|attached|attached|attaching|
|attack|attacks|attacked|attacked|attacking|
|attain|attains|attained|attained|attaining|
|attempt|attempts|attempted|attempted|attempting|
|attend|attends|attended|attended|attending|
|attract|attracts|attracted|attracted|attracting|
|attribute|attributes|attributed|attributed|attributing|
|authorize|authorizes|authorized|authorized|authorizing|
|avoid|avoids|avoided|avoided|avoiding|
|awake|awakes|awoke|awoken|awaking|
|award|awards|awarded|awarded|awarding|
|back|backs|backed|backed|backing|
|bake|bakes|baked|baked|baking|
|balance|balances|balanced|balanced|balancing|
|ban|bans|banned|banned|banning|
|base|bases|based|based|basing|
|bathe|bathes|bathed|bathed|bathing|
|be|is/am/are|was/were|been|being|
|bear|bears|bore|borne/born|bearing|
|beat|beats|beat|beaten|beating|
|become|becomes|became|become|becoming|
|begin|begins|began|begun|beginning|
|behave|behaves|behaved|behaved|behaving|
|believe|believes|believed|believed|believing|
|belong|belongs|belonged|belonged|belonging|
|benefit|benefits|benefited|benefited|benefiting|
|bet|bets|bet|bet|betting|
|betray|betrays|betrayed|betrayed|betraying|
|bid|bids|bid|bid|bidding|
|bind|binds|bound|bound|binding|
|bite|bites|bit|bitten|biting|
|blame|blames|blamed|blamed|blaming|
|bless|blesses|blessed|blessed|blessing|
|blow|blows|blew|blown|blowing|
|board|boards|boarded|boarded|boarding|
|boast|boasts|boasted|boasted|boasting|
|boil|boils|boiled|boiled|boiling|
|book|books|booked|booked|booking|
|bore|bores|bored|bored|boring|
|borrow|borrows|borrowed|borrowed|borrowing|
|bother|bothers|bothered|bothered|bothering|
|bounce|bounces|bounced|bounced|bouncing|
|bow|bows|bowed|bowed|bowing|
|break|breaks|broke|broken|breaking|
|breathe|breathes|breathed|breathed|breathing|
|breed|breeds|bred|bred|breeding|
|bring|brings|brought|brought|bringing|
|broadcast|broadcasts|broadcast|broadcast|broadcasting|
|brush|brushes|brushed|brushed|brushing|
|build|builds|built|built|building|
|burn|burns|burned/burnt|burned/burnt|burning|
|burst|bursts|burst|burst|bursting|
|bury|buries|buried|buried|burying|
|buy|buys|bought|bought|buying|
|calculate|calculates|calculated|calculated|calculating|
|call|calls|called|called|calling|
|calm|calms|calmed|calmed|calming|
|campaign|campaigns|campaigned|campaigned|campaigning|
|camp|camps|camped|camped|camping|
|cancel|cancels|canceled|canceled|canceling|
|capture|captures|captured|captured|capturing|
|care|cares|cared|cared|caring|
|carry|carries|carried|carried|carrying|
|carve|carves|carved|carved|carving|
|cast|casts|cast|cast|casting|
|catch|catches|caught|caught|catching|
|categorize|categorizes|categorized|categorized|categorizing|
|cause|causes|caused|caused|causing|
|caution|cautions|cautioned|cautioned|cautioning|
|celebrate|celebrates|celebrated|celebrated|celebrating|
|challenge|challenges|challenged|challenged|challenging|
|change|changes|changed|changed|changing|
|charge|charges|charged|charged|charging|
|chase|chases|chased|chased|chasing|
|chat|chats|chatted|chatted|chatting|
|check|checks|checked|checked|checking|
|cheer|cheers|cheered|cheered|cheering|
|choose|chooses|chose|chosen|choosing|
|chop|chops|chopped|chopped|chopping|
|claim|claims|claimed|claimed|claiming|
|clarify|clarifies|clarified|clarified|clarifying|
|classify|classifies|classified|classified|classifying|
|clean|cleans|cleaned|cleaned|cleaning|
|clear|clears|cleared|cleared|clearing|
|click|clicks|clicked|clicked|clicking|
|climb|climbs|climbed|climbed|climbing|
|cling|clings|clung|clung|clinging|
|close|closes|closed|closed|closing|
|coach|coaches|coached|coached|coaching|
|collaborate|collaborates|collaborated|collaborated|collaborating|
|collect|collects|collected|collected|collecting|
|combine|combines|combined|combined|combining|
|come|comes|came|come|coming|
|command|commands|commanded|commanded|commanding|
|comment|comments|commented|commented|commenting|
|commit|commits|committed|committed|committing|
|communicate|communicates|communicated|communicated|communicating|
|compare|compares|compared|compared|comparing|
|compete|competes|competed|competed|competing|
|complain|complains|complained|complained|complaining|
|complete|completes|completed|completed|completing|
